0.46875	0.40625	0.375	0	0
0.46875	0.40625	0.375	0	0
0.46875	0.40625	0.375	0	0
0.46875	0.40625	0.375	0	0
0.46875	0.40625	0.375	0	0
0.46875	0.40625	0.375	0	0
0.46875	0.40625	0.375	0	0
0.46875	0.40625	0.375	0	0
0.5625	0.5	0.46875	0	0
0.5	0.46875	0.4375	0.03125	0
0.59375	0.5	0.5	0	0
0.46875	0.46875	0.4375	0	0
0.53125	0.5	0.5	0.03125	0
0.53125	0.46875	0.46875	0	0
0.59375	0.4375	0.40625	0	0
0.53125	0.46875	0.4375	0	0
0.53125	0.5	0.46875	0	0
0.5	0.5	0.46875	0.03125	0
0.5	0.5	0.46875	0.0625	0
0.5625	0.4375	0.40625	0	0
0.53125	0.5	0.46875	0	0
0.46875	0.40625	0.375	0	0
0.46875	0.40625	0.40625	0.03125	0
0.46875	0.4375	0.375	0.03125	0
0.5625	0.53125	0.53125	0	0
0.53125	0.53125	0.46875	0.03125	0
0.46875	0.4375	0.4375	0	0
0.53125	0.53125	0.53125	0.03125	0
0.46875	0.4375	0.375	0.0625	0
0.4375	0.4375	0.4375	0.03125	0
0.5625	0.53125	0.53125	0.125	0
0.46875	0.4375	0.4375	0	0
